#,Question,Asker Name,Asker Initials,Answer,Question Time,Answered Time,Answerer Name,Answerer Initials
1,I am working on the bruker interpreter if somebody wants more information about that. But maybe other groups are working on something on their side,Aurélien Trotier,A.T.,"You are in contact with Matt Budde, is that right?",02/25/2026 08:59:41 AM,02/25/2026 09:43:01 AM,Maxim Zaitsev,M.Z.
2,Can't see his slides.,Jordan  Krebs,J.K.,,02/25/2026 09:04:25 AM,,,--
3,Presentation is not shared.,Patrick Hucker,P.H.,,02/25/2026 09:04:32 AM,,,--
4,"Maxim, are you showing slides?",Filip Szczepankiewicz,F.S.,,02/25/2026 09:04:46 AM,,,--
5,there's quite a significant echo,Anonymous Attendee,A.A.,,02/25/2026 09:14:29 AM,,,--
6,"[just fyi, participants currently cannot see other questions, only their own - that was different yesterday, would be nice to change that again]

My question: wouldn't MRI research be entirely impossible if we all actually strictly followed patent/ip law? We are publishing papers all the time that are based off previous papers on methods that are also patented. How do we ensure any sort of reproducibility in this environment?",Tom Griesler,T.G.,"This is exactly the problem. In Europe, however, due to the research exception, methodological research is perfectly permissible. The US situation is little bit ugly though, at least from the formal legal point-of-view. But in practise, IP owners often chose to ignore such minor infrigement cases, such as scientific papers...",02/25/2026 09:32:42 AM,02/25/2026 09:47:06 AM,Maxim Zaitsev,M.Z.
7,"I work in the field of quantitative MRI and have some of my codes in a github account, open for all. But now I am scared if I am unknowingly infringing on some patents like Synthetic MR and so on. Can I assume that if I am able to publish the work as a journal article, can I be sure that my codes are not infringing on any patents?",Anonymous Attendee,A.A.,"don't be scared. it is basically the task of the IP owner to prove that your code infringes in a patent, so unless nobody goes for effort to do so, you are fine.",02/25/2026 09:34:05 AM,02/25/2026 09:49:08 AM,Maxim Zaitsev,M.Z.
7,"I work in the field of quantitative MRI and have some of my codes in a github account, open for all. But now I am scared if I am unknowingly infringing on some patents like Synthetic MR and so on. Can I assume that if I am able to publish the work as a journal article, can I be sure that my codes are not infringing on any patents?",Anonymous Attendee,A.A.,"I agree. since it takes a lot of money to enforce IP (i.e. hire lawyers to sue), patent holders are really only focused on enforcement of commercial uses. Open-source code for research/academic use are not the main targets here. If you try to start a company with the technology, then you need to consider if any of your product is patent-encumbered (and generally there are corporate lawyers and consultants who you can work through this process with).",02/25/2026 09:34:05 AM,02/25/2026 09:52:57 AM,Samuel Hurley,S.H.
8,Is c2p agreement under the licence?,oleg p. poznansky,O.P.,"no, C2P agreement is not a license",02/25/2026 09:35:11 AM,02/25/2026 09:49:31 AM,Maxim Zaitsev,M.Z.
9,Is GPL-2 less viral?  Your opinion?,Brian Soher,B.S.,"GPL2 is certainly not less viral, but it is more permissive in terms of the commercial use. But still, if you don't want to introduce constraints for the dissemination of your technology, then try to avoid GPL for your own work.",02/25/2026 09:35:58 AM,02/25/2026 09:52:31 AM,Maxim Zaitsev,M.Z.
10,"Could you comment on the current license for pulseq matlab/python, and how we should think about out sequences built on top",Filip Szczepankiewicz,F.S.,"Cuttent Matlab-Pulseq and PyPulseq licensed under MIT, ther are no restrictions for derived works.",02/25/2026 09:36:05 AM,02/25/2026 09:53:41 AM,Maxim Zaitsev,M.Z.
11,I saw that pypulseq change the license and had to remove some code ? what about rewritting it ?,Aurélien Trotier,A.T.,"the code we removed was not worth rewriting, as it was mostly unused or superseded (e.g., SAR prediction)",02/25/2026 09:36:16 AM,02/25/2026 09:38:04 AM,Matteo Cencini,M.C.
12,"If a technology is patented, does that mean I cannot use it for my own research or publish a paper based on it?
For example, MRF is patented, would developing a method based on it and publishing a paper be considered patent infringement? but,, many researchers are already using MRF in their work.",Anonymous Attendee,A.A.,"Strictly speaking in the US -- yes, it may be considered as an infringement. In Europe you are acvtually completely fine. There are many strange things about the US legal system, this is not the strangest one, but certainly one that worth mentioning.",02/25/2026 09:36:43 AM,02/25/2026 09:56:51 AM,Maxim Zaitsev,M.Z.
13,"How do you deal with deciding on using libraries or dependancies in your software, based on their license? e.g. if you use a library that has GPL-2 or GPL-3, your software becomes encumbered?",Samuel Hurley,S.H.,"typically, if you use a GPL-based library, your software is not automatically subject to GPL,at least not its source code. But once you package a binary differences between GPL2 and GPL3 or AGPL start to be important...",02/25/2026 09:36:45 AM,02/25/2026 10:01:34 AM,Maxim Zaitsev,M.Z.
14,"If we have code using pulseq, should we keep it off github? Even if it has not been published in a paper?",Anonymous Attendee,A.A.,"of course not, please share your code! but bst make sure that your PI knows and proves that you share the code, and then it is the responsibility of the lab or the University and not of you personally.",02/25/2026 09:38:19 AM,02/25/2026 10:03:46 AM,Maxim Zaitsev,M.Z.
15,can MRzero be  used to simulate seq files for other body parts eg. liver,Anonymous Attendee,A.A.,"yes, but you would probably need to define your own liver numerical phantom. there is instructions to write your own digital phantom online: https://mrsources.github.io/MRzero-Core/",02/25/2026 09:41:57 AM,02/25/2026 09:46:07 AM,Qingping Chen,Q.C.
16,"As a new pulseq user, I find myself writing custom trapezoid functions beyond the few provided in the library. However I am concerned that I could be unknowingly infringing on someone’s IP here. I expect this kind of thing comes up a lot for pulseq users who are “reinventing the wheel” in small ways as they create their own pulse sequence “from scratch”.  What is recommended for protecting ourselves, the pulseq sequence author who does not hold the IP, in this regard? Not share the pulseq code?",Anonymous Attendee,A.A.,"Don't worry so much, most of the basic MR patents such as slice refocusing gradient or alike, have ran out by now, so they are in the public domain. So, don't be afraid, share your code and see what happens. To be on the safe side, share not as a private person but with a permission of your institution or university.",02/25/2026 09:42:28 AM,02/25/2026 10:08:03 AM,Maxim Zaitsev,M.Z.
17,Will pulseq have the GUI feature in the future?,Anonymous Attendee,A.A.,"Good and important question. There's ongoing work to integrate Pulseq sequences with the existing vendor UI, e.g., Matteo will talk about one such approach tomorrow.",02/25/2026 09:48:53 AM,02/25/2026 10:07:53 AM,Jon-Fredrik Nielsen,J.N.
18,can i use chatgpt and translate pypulseq code into matlab pulseq and vice verse?,oleg p. poznansky,O.P.,"I tried to translate pypulseq into matlab using chatgpt for my basic tutorial yesterday. chatGPT works well for most of the code, only the plot kspace trajectory part didn’t work because there is an inconsistency in the k-space calculation function between Pulseq and PyPulseq. So you can try, but you may need to debug the code a bit.",02/25/2026 09:54:02 AM,02/25/2026 09:57:18 AM,Qingping Chen,Q.C.
19,Is the concept of blocks still apply in pyPulseq?,Mohammad Sabati,M.S.,"yes, the basic pulseq ""language"" is still the same. The .seq files generated via Matlab and Python are nearly identical.",02/25/2026 09:55:02 AM,02/25/2026 09:57:10 AM,Maximilian Gram,M.G.
20,Thanks for the clarification.,Mohammad Sabati,M.S.,sure,02/25/2026 09:57:47 AM,02/25/2026 10:11:04 AM,Maxim Zaitsev,M.Z.
21,Can I run .seq file directly in a MRI scanner? How can I run .seq file in Siemens 3T MRI scanner?,Anonymous Attendee,A.A.,"hi, you need to obtain the siemens interpreter from Freiburg through the c2p agreement. There is a C2P manual along with the interpreter to instruct you how to run .seq file on a Siemens scanner. for more inforamtion, email pulseq.mr@uniklinik-freiburg.de",02/25/2026 10:02:19 AM,02/25/2026 10:04:57 AM,Qingping Chen,Q.C.
22,Wait..so you don't manually code the reconstruction? You just pop in the seq file and it knows what to do??,Anonymous Attendee,A.A.,"Yes, you need the seq-file (to be able to calculate the k-space trajectory) and the MR raw data in MRD format. If the raw data is labeled (meaning you add labels if you create your sequence) it will work.",02/25/2026 10:03:15 AM,02/25/2026 10:15:43 AM,Patrick Schuenke,P.S.
22,Wait..so you don't manually code the reconstruction? You just pop in the seq file and it knows what to do??,Anonymous Attendee,A.A.,This is not true for compressed sensing right? That needs to be offline/manually?,02/25/2026 10:03:15 AM,02/25/2026 10:23:48 AM,Faiyza Alam,F.A.
23,Can I upload meas.dat file from twix and do reconstruction with MRpro?,oleg p. poznansky,O.P.,"We dont support .dat file import, because it would mean we have to adapt for every IDEA version. However, there is an open-source tool to converet Siemens *.dat to *mrd files: https://github.com/ismrmrd/siemens_to_ismrmrd

Furthermore, Pulseq on Siemens directly allows for an (ISMR)MRD export.",02/25/2026 10:03:20 AM,02/25/2026 10:18:58 AM,Patrick Schuenke,P.S.
23,Can I upload meas.dat file from twix and do reconstruction with MRpro?,oleg p. poznansky,O.P.,"Furthermore, Pulseq on Siemens directly allows for an (ISMR)MRD export.

in stock, or I have to install smt additionally?",02/25/2026 10:03:20 AM,02/25/2026 10:20:54 AM,Petr Menshchikov,P.M.
