#,Question,Asker Initials,Answer,Question Time,Answered Time,Answerer Initials
1,Is the meeting recorded? I want to rewatch it later.,A.A.,"Yes, it will be posted in the ISMRM virtual meeting archives. Not sure when, hopefully within a few working days.",02/26/2026 09:06:34 AM,02/26/2026 09:07:50 AM,J.N.
1,Is the meeting recorded? I want to rewatch it later.,A.A.,Thank you!,02/26/2026 09:06:34 AM,02/26/2026 09:09:45 AM,N.P.
2,"Are there any plans to add more optional gradient channels to PulSeq, for example to control auxiliary gradient coils, matrix shim coils, etc., especially when these coils are capable of dynamic field control?",J.S.,"Control of additional gradients was the initial motivation for getting pulseq started. In our older internal versions this is supported. However, more recent gradient functions are not supported, yet. If there is a clear need from the community, we have to discuss including this feature in the official release.",02/26/2026 09:07:58 AM,02/26/2026 09:13:15 AM,S.L.
2,"Are there any plans to add more optional gradient channels to PulSeq, for example to control auxiliary gradient coils, matrix shim coils, etc., especially when these coils are capable of dynamic field control?",J.S.,"Thank you Sebastian.  Currently we use a trigger from PulSeq to synchronize our extra encoding channels, which works OK, so there is not an urgent need for this.  But it could be very convenient to have all the linear and nonlinear gradient waveforms set up in PulSeq for ease of plotting together and working out the exact timing, etc.   But I realize this might have a small user base (at least for now).",02/26/2026 09:07:58 AM,02/26/2026 09:21:21 AM,J.S.
2,"Are there any plans to add more optional gradient channels to PulSeq, for example to control auxiliary gradient coils, matrix shim coils, etc., especially when these coils are capable of dynamic field control?",J.S.,"Interestingly enough, Thomas Roos has implemented hist own way of controlling additional channels, so I'd say we should connect together to see  how we proceed there. I was never too hapy about the way our internal implementation works, so it could be a good opportunity to revise it.",02/26/2026 09:07:58 AM,02/26/2026 09:33:14 AM,M.Z.
3,Are the FOV and rotation changes coupled to the graphical prescription on-scanner ?,J.V.,"For the matlab fov positioning code , we can apply shift/rotation of the fov to the sequence and generate the modified sequence and with that we dont need to change the fov window in the UI. this function supports both cartesian and non-cartesian sequences. We have also implemented it into the siemens pulseq interpreter and with that you can shift/rotate the fov window in the UI and it modifies your sequence and then run it. although the implemented function in the interpreter is only for sequences with constant gradient during the RF and ADC and we will extend it to support sequences with time-variable gradients during RF and ADC.",02/26/2026 09:10:23 AM,02/26/2026 09:21:11 AM,M.S.
4,"Perhaps I did something wrong...

The first 40-50us of ADC often is very oscillating when I am trying to implement cone like trajectory. 

Is the cone traj pulseq example public to access?",A.A.,"I think this is due to digital filtering of the receiver. We start the adc a little bit before the read gradient for all center out trajectories and apply adc padding prior to reconstruction. I would be intersted if there is a general rule of thumb of how many adc samples are ""corrupted"" ?",02/26/2026 09:21:23 AM,02/26/2026 09:25:21 AM,T.G.
4,"Perhaps I did something wrong...

The first 40-50us of ADC often is very oscillating when I am trying to implement cone like trajectory. 

Is the cone traj pulseq example public to access?",A.A.,"If i recollect right, 40-80 us? I have no rule at all. 80 is almost sure to be safe.",02/26/2026 09:21:23 AM,02/26/2026 09:27:15 AM,X.J.
4,"Perhaps I did something wrong...

The first 40-50us of ADC often is very oscillating when I am trying to implement cone like trajectory. 

Is the cone traj pulseq example public to access?",A.A.,"Siemens say the minimal TE can be 70us. I was able to use about 50, but this is very much coil and system dependent.",02/26/2026 09:21:23 AM,02/26/2026 09:34:52 AM,M.Z.
5,Wow! Is the PGE also good for the RF Shim Example? Splendid!,X.J.,"not yet, but should be safer than full dynamic ptx so hopefully soon :)",02/26/2026 09:23:45 AM,02/26/2026 09:25:51 AM,M.C.
5,Wow! Is the PGE also good for the RF Shim Example? Splendid!,X.J.,Grazie Mille! Matteo,02/26/2026 09:23:45 AM,02/26/2026 09:28:12 AM,X.J.
6,"Sorry if I missed it, but I don’t suppose there are plans for the user to control independent UI elements like sat bands, ASL labelling planes etc.?",T.O.,"actually, there are distant plans to do so. The implementation of the more advanced FOV support in the interpreter is part of this strategic effort. But it will still take some time.",02/26/2026 09:26:44 AM,02/26/2026 09:36:07 AM,M.Z.
